"ID","Nombre VM","Estado","Estatus","CPU CORES","vCPUs","CPU Asignado Mhz","CPU Uso Mhz","MEM Asignada(GB)","MEM Uso (GB)","Disco Asignado (GB)","Disco Uso (GB)","Disco Read Latency","Disco Write Latency","Disco Read IOPS","Disco Write IOPS","Sistema Op.","IP address","Host","Path"
"dc393028-112f-5280-af76-c5f1d15e48d8","LCECKAVGW02","POWERED_ON","OK","2","2","0","273","16","1.279296875","250","199.9711511945352","0","0","0","1322","Microsoft Windows Server 2016 (64-bit)","10.10.28.67","esxi-surco-03.comercio.local","[DS-VIC-LC-002] LCECKAVGW02/LCECKAVGW02.vmx"
"4ebd27cb-796b-5240-b30d-08a8d994fb0e","PAECPMAAPP","POWERED_ON","OK","2","2","0","105","16","1.119140625","100","113.46345725376159","0","0","0","488","Microsoft Windows Server 2016 (64-bit)","192.168.68.154","esxi-surco-03.comercio.local","[DS-VIC-LC-003] PAECPMAAPP/PAECPMAAPP.vmx"
"959618c5-dd3d-5ada-8e78-a5eeaecbacbf","DRLIMASURA03","POWERED_ON","OK","2","2","0","1050","8","1.599609375","550","446.8130291532725","0","0","0","1281","Microsoft Windows Server 2016 (64-bit)","10.10.3.51","esxi-surco-03.comercio.local","[DS-VIC-LC-001] DRLIMASURA03/DRLIMASURA03.vmx"
"6e0c6f5d-260f-5ee2-911b-ccf77f70b33f","PAECESKOAE","POWERED_ON","OK","10","10","0","546","38","2.6591796875","350","312.3430437128991","0","0","1","962","Microsoft Windows Server 2016 (64-bit)","192.168.62.153","esxi-surco-03.comercio.local","[DS-VIC-LC-003] PAECESKOAE/PAECESKOAE.vmx"
"dddf3149-73de-530e-a910-e7c3d9b3fe52","IDSERVER01-C","POWERED_ON","OK","14","98","0","231","28","0.83984375","150","101.88615883979946","0","0","0","497","Microsoft Windows Server 2008 R2 (64-bit)","10.10.29.17","esxi-surco-03.comercio.local","[DS-SYNC-003] IDSERVER01-C/IDSERVER01-C.vmx"
"3236f2d7-d1d8-530e-a379-d7bf31af3795","GESACPROTBDMI","POWERED_ON","OK","14","98","0","483","20","4.7998046875","1740","1632.746179602109","0","0","0","664","Microsoft Windows Server 2012 (64-bit)","10.10.30.146","esxi-surco-03.comercio.local","[DS-VIC-LC-003] GESACPROTBDMI/GESACPROTBDMI.vmx"
"590a5aee-101e-5095-9947-8cec7ba06e7a","LCECRPA02","POWERED_ON","OK","6","18","0","3297","32","5.759765625","120","102.8418045938015","0","0","17","811","Microsoft Windows 10 (64-bit)","10.10.35.16","esxi-surco-03.comercio.local","[DS-VIC-LC-002] LCECRPA02/LCECRPA02.vmx"
"c9698b62-98e6-597a-82f6-0757f425b16f","LCECFTP02","POWERED_ON","OK","2","4","0","315","8","0.2392578125","1514","1330.436668693088","0","0","0","0","CentOS 4/5/6 (64-bit)","10.10.28.41","esxi-surco-03.comercio.local","[DS-VIC-LC-001] LCECFTP02/LCECFTP02.vmx"
"83dd9d65-902d-53f9-bb5f-ed5df8090750","MEDSER01","POWERED_ON","OK","8","32","0","2205","36","1.7998046875","21028.19999408722","20414.926233598962","0","0","0","0","Microsoft Windows Server 2008 R2 (64-bit)","10.10.29.37","esxi-surco-03.comercio.local","[DS-VIC-LC-004] MEDSER01/MEDSER01.vmx"
"326a4f63-c05a-5276-9e21-e933198b03e5","LCECMESD","POWERED_ON","OK","2","2","0","483","18","2.33984375","150","241.0765788834542","6","0","35","3033","Microsoft Windows Server 2016 (64-bit)","10.10.28.18","esxi-surco-03.comercio.local","[DS-VIC-LC-002] LCECMESD/LCECMESD.vmx"
"227084cb-d123-5420-8aaf-6470a27d3d14","LCECTESRV11","POWERED_ON","OK","8","8","0","357","32","2.2392578125","150","118.2322253473103","0","0","0","1844","Microsoft Windows Server 2016 (64-bit)","10.10.35.130","esxi-surco-03.comercio.local","[DS-VIC-LC-001] LCECTESRV11/LCECTESRV11.vmx"
